主题,配置字段,资源作用,图片缩略图（可点开看标准图）,尺寸,配置路径,实际文件路径,用途
water / 水主题,cellBase[0],格子底图；多张时按格子坐标交替显示。,assets/resources/texture/match3/skin/current/ground/border/water_bg_1.png,85 x 85 px,texture/match3/skin/current/ground/border/water_bg_1,assets/resources/texture/match3/skin/current/ground/border/water_bg_1.png,棋盘格子底图
water / 水主题,upBorders.0001,棋盘外圈上层边框，形状 key=0001。,assets/resources/texture/match3/skin/current/ground/border/water_0001.png,85 x 85 px,texture/match3/skin/current/ground/border/water_0001,assets/resources/texture/match3/skin/current/ground/border/water_0001.png,棋盘边框图
water / 水主题,upBorders.0011,棋盘外圈上层边框，形状 key=0011。,assets/resources/texture/match3/skin/current/ground/border/water_0011.png,85 x 85 px,texture/match3/skin/current/ground/border/water_0011,assets/resources/texture/match3/skin/current/ground/border/water_0011.png,棋盘边框图
water / 水主题,upBorders.0101,棋盘外圈上层边框，形状 key=0101。,assets/resources/texture/match3/skin/current/ground/border/water_0101.png,85 x 85 px,texture/match3/skin/current/ground/border/water_0101,assets/resources/texture/match3/skin/current/ground/border/water_0101.png,棋盘边框图
water / 水主题,upBorders.0110,棋盘外圈上层边框，形状 key=0110。,assets/resources/texture/match3/skin/current/ground/border/water_0110.png,85 x 85 px,texture/match3/skin/current/ground/border/water_0110,assets/resources/texture/match3/skin/current/ground/border/water_0110.png,棋盘边框图
water / 水主题,upBorders.0111,棋盘外圈上层边框，形状 key=0111。,assets/resources/texture/match3/skin/current/ground/border/water_0111.png,85 x 85 px,texture/match3/skin/current/ground/border/water_0111,assets/resources/texture/match3/skin/current/ground/border/water_0111.png,棋盘边框图
water / 水主题,middleBorders.0100,棋盘内侧衔接边框，形状 key=0100。,assets/resources/texture/match3/skin/current/ground/border/water_m0100.png,85 x 85 px,texture/match3/skin/current/ground/border/water_m0100,assets/resources/texture/match3/skin/current/ground/border/water_m0100.png,棋盘内侧边框图
water / 水主题,middleBorders.1000,棋盘内侧衔接边框，形状 key=1000。,assets/resources/texture/match3/skin/current/ground/border/water_m1000.png,85 x 85 px,texture/match3/skin/current/ground/border/water_m1000,assets/resources/texture/match3/skin/current/ground/border/water_m1000.png,棋盘内侧边框图
water / 水主题,middleBorders.1100,棋盘内侧衔接边框，形状 key=1100。,assets/resources/texture/match3/skin/current/ground/border/water_m1100.png,85 x 85 px,texture/match3/skin/current/ground/border/water_m1100,assets/resources/texture/match3/skin/current/ground/border/water_m1100.png,棋盘内侧边框图
water / 水主题,complexGround.0001,复杂拼接地块，四格拼接状态 key=0001。,assets/resources/texture/match3/skin/current/ground/border/water/w_0001.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_0001,assets/resources/texture/match3/skin/current/ground/border/water/w_0001.png,复杂地块拼接图
water / 水主题,complexGround.0010,复杂拼接地块，四格拼接状态 key=0010。,assets/resources/texture/match3/skin/current/ground/border/water/w_0010.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_0010,assets/resources/texture/match3/skin/current/ground/border/water/w_0010.png,复杂地块拼接图
water / 水主题,complexGround.0011,复杂拼接地块，四格拼接状态 key=0011。,assets/resources/texture/match3/skin/current/ground/border/water/w_0011.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_0011,assets/resources/texture/match3/skin/current/ground/border/water/w_0011.png,复杂地块拼接图
water / 水主题,complexGround.0100,复杂拼接地块，四格拼接状态 key=0100。,assets/resources/texture/match3/skin/current/ground/border/water/w_0100.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_0100,assets/resources/texture/match3/skin/current/ground/border/water/w_0100.png,复杂地块拼接图
water / 水主题,complexGround.0101,复杂拼接地块，四格拼接状态 key=0101。,assets/resources/texture/match3/skin/current/ground/border/water/w_0101.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_0101,assets/resources/texture/match3/skin/current/ground/border/water/w_0101.png,复杂地块拼接图
water / 水主题,complexGround.0110,复杂拼接地块，四格拼接状态 key=0110。,assets/resources/texture/match3/skin/current/ground/border/water/w_0110.png,92 x 92 px,texture/match3/skin/current/ground/border/water/w_0110,assets/resources/texture/match3/skin/current/ground/border/water/w_0110.png,复杂地块拼接图
